Influencer,link,Follower count,Following count,Like count,video 1,video 2,video 3,Average Views,Multiplier
minnarosaweber,https://www.tiktok.com/@minnarosaweber,414000,36,14800000,58300,70400,43600,57433,
calysta.belle,https://www.tiktok.com/@calysta.belle,1100000,437,29500000,56800,313900,45100,138600,
_lexibrynn,https://www.tiktok.com/@_lexibrynn,94500,241,2300000,8658,6105,10200,8321,
breckiehill,https://www.tiktok.com/@breckiehill,388500,117,6100000,42600,57600,73500,57900,
Giannaspovss,https://www.tiktok.com/@Giannaspovss,5800000,89,349200000,127300,473500,139200,246666,
rileysaurage,https://www.tiktok.com/@rileysaurage,550000,77,16100000,13900,13000,20600,15833,
lianakramirez,https://www.tiktok.com/@lianakramirez,1500000,100,17800000,27400,144400,41600,71133,
realmsp,https://www.tiktok.com/@realmsp,585000,365,27800000,20400,26700,501200,182766,
alexia_musica,https://www.tiktok.com/@alexia_musica,1800000,69,47900000,125800,42700,600100,256200,
THISISBOPPER,https://www.tiktok.com/@THISISBOPPER,348100,18,13300000,254800,147000,68100,156633,
